name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Belo Horizonte, MG, Brasil",2023-01-14,31.2,19.3,24.3,32.1,19.3,24.6,19.0,75.3,8.5,100.0,66.67,rain,0,0,10.1,10.4,7.5,1017.3,76.2,10.4,233.5,20.2,9,60,2023-01-14T05:28:25,2023-01-14T18:41:00,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"SBLS,SBBH,SBCF,SBPR"
"Belo Horizonte, MG, Brasil",2023-01-15,26.6,18.0,21.6,26.6,18.0,21.6,18.2,82.6,1.4,85.7,37.5,rain,0,0,12.6,8.6,62.9,1015.1,98.2,23.9,240.0,20.9,8,30,2023-01-15T05:29:05,2023-01-15T18:41:03,0.78,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Belo Horizonte, MG, Brasil",2023-01-16,28.4,16.5,21.8,28.0,16.5,21.7,15.2,69.8,0.1,9.5,4.17,rain,0,0,29.2,13.7,58.5,1014.4,59.2,24.1,349.8,30.3,10,10,2023-01-16T05:29:45,2023-01-16T18:41:04,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Belo Horizonte, MG, Brasil",2023-01-17,27.2,16.1,21.3,27.0,16.1,21.3,13.8,64.7,0.0,38.1,0.0,,0,0,19.1,13.0,59.4,1015.1,7.0,24.1,358.9,30.9,10,10,2023-01-17T05:30:25,2023-01-17T18:41:04,0.88,Clear,Clear conditions throughout the day.,clear-day,
"Belo Horizonte, MG, Brasil",2023-01-18,28.7,16.6,22.3,28.1,16.6,22.2,14.9,65.9,0.5,85.7,12.5,rain,0,0,15.1,9.4,57.4,1015.3,18.0,23.9,350.7,30.1,10,10,2023-01-18T05:31:04,2023-01-18T18:41:03,0.93,Rain,Clear conditions throughout the day with a chance of rain.,rain,
"Belo Horizonte, MG, Brasil",2023-01-19,27.3,17.8,21.4,27.5,17.8,21.5,16.7,76.3,14.4,95.2,25.0,rain,0,0,15.5,10.1,90.1,1014.8,89.4,17.7,282.3,24.3,10,10,2023-01-19T05:31:44,2023-01-19T18:41:01,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
"Belo Horizonte, MG, Brasil",2023-01-20,22.8,17.8,19.3,22.8,17.8,19.3,17.6,89.7,15.8,85.7,33.33,rain,0,0,13.7,8.3,61.8,1014.2,99.9,16.2,163.0,14.4,8,30,2023-01-20T05:32:24,2023-01-20T18:40:57,0.99,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Belo Horizonte, MG, Brasil",2023-01-21,20.8,17.4,18.7,20.8,17.4,18.7,17.5,93.0,16.3,90.5,33.33,rain,0,0,13.3,6.5,95.6,1013.6,100.0,14.6,91.9,8.1,4,30,2023-01-21T05:33:03,2023-01-21T18:40:52,1.0,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
